Swift Code,Field Description,Line Description
27,Sequence of Total,1/1 (Number)(Total)
40A,Form of Documentary Credit,Irrevocable
31C,Date of Issue,dd/mm/yyyy
40E,Applicable Rules,UCP LATEST VERSION
32B,Currency/Amount,□ USD        □  JPY       □ EUR
51A,Applicant Bank,
50,Applicant,
59,Beneficiary
(Follow this address in L/C
application to avoid amendment, 
as this is our official address
information in our letterhead),SABIC ASIA PACIFIC PTE LTD
ONE TEMASEK AVENUE 
NO. 06-01 MILLENIA TOWER
SINGAPORE 039192
39A,Percentage Credit
Amount Tolerance,10/10
39B,Maximum Credit Amount,Not Exceeding
41D,Available With/by,ANY BANK IN SINGAPORE BY NEGOTIATION
42C ,Drafts At,□ XX Days from B/L date                  □ Sight
42A,Drawee,ISSUING BANK / CONFIRMING BANK
44C,Latest Shipment Date (dd/mm/yyyy),(21 days before Expiry Date)
31D,Expiry Date/Place (dd/mm/yyyy),IN SINGAPORE (60 days from L/C issue date)
43P,Partial Shipments,Allowed
43T,Transhipment,Allowed
44E,Loading Port/ Dispatch at/ From,Any Port in Saudi Arabia / Korea / Europe
44F,Port of Discharge / Airport of Destination,Chittagong Port, Bangladesh
49,Confirming Instruction,Confirm / May Add Any bank in Singapore is allowed to add confirmation to the L/C
45A,Description of Goods,(Do not mention specification only Quantity Product name or Grade)
46A,Documents Required,1) Signed Commercial Invoice in One Original and Three Copies mentioning breakup of cost and Freight Charges 2) Full set of original clean 'shipped on board' marine bills of lading made out to order of issuing bank mentioning its BIN/VAT number, marked Freight prepaid and marked Notify Applicant and Issuing Bank. Bill of Lading must show Name, address, telephone and fax number of local shipping agent in country. 3) Cert of Origin issued by Beneficiary endorsed by Chamber of Commerce in One Original and two copies 4) Packing list in One Original and Two Copies 
71B,Charges,All bank charges in Singapore including Confirmation charges are for Beneficiary's account and all bank charges outside Singapore are for for Applicant's account including Reimbursing bank charges
48,Period for Presentation,Within 21 days from the date of shipment but within the validity of the credit
53A ,Reimbursing Bank,If Any
57A,Advise Through Bank, 1)The Bank Of Tokyo Mitsubishi UFJ Ltd. - Singapore branch 9 Raffles Place #01-01 Republic Plaza Singapore 048619 Swift Code : BOTKSGSX 2)Citibank N.A. Singapore Branch 8 Marina View #16-01 Asia Square Tower 1 Singapore 018960 SWIFT CODE: CITISGSG Standard Chartered Bank Bank Address: 6 Battery Road Singapore 049909 Bank code: 7144 SWIFT Code: SCBLSGSG
78,Instructions to the Paying/Accepting / Negotiating Bank,1) We authorize you to reimburse yourself by debiting our account held with you value 3 working days from due date. OR 2) We authorize you to reimburse by sending swift claim to reimbursement bank mentioned in Field 53 value 3 working days from due date. OR 3) We will honor your payment as per your instructions value 3 working days from claim date
72,Sender to Receiver Information,Credit is subject to UCP or Documentary Credits ICC Publication No.600 (2007 Revision) or UCPURR Latest Version Please acknowledge receipt
