BANK,DATE OF ISSUE,DATE RECEIVED,Date Reviewed,CONTRACT NO ,ADVISING REF ,LC NO,Country,Request for amendments Date,LC Clean date,ELITE PIC,,CSR PIC,,F/D ,FD NO,F/D Create Date,Client Name,LC Start Date,LC Expiry Date,Shipment Date
SCB,8-May,8-May,12-May,07/3856,957117583947,17ILC0363,Nepal,12-May,15-May,THINHA,OK,SURYA,OK,OK,201342,16-May,Shree Polythene & Plastic Udyog,5-May-17,30-Jun-17,9-Jun-17
CITI,8-May,9-May,12-May,08/10912,5918625021,0000019517020029,Bangladesh,N.A,12-May,THINHA,OK,ANURAG,OK,OK,201253,12-May,THE PLASTIC MAN LTD.,7-May-17,21-Jul-17,30-Jun-17
BTMU,8-May,11-May,12-May,08/10902,TK170508330399000,0000168917060404,Bangladesh,12-May,19-May,THINHA,OK,ANURAG,OK,OK,201608,19-May,M & U PACKAGING LTD,8-May-17,22-Sep-17,1-Sep-17
SCB,9-May,11-May,15-May,11/5516,SGHSBC7E1117060,DB1003LC1704496,Sri Lanka,N.A,15-May,THINHA,OK,NAVDEEP,OK,OK,201352,15-May,MODERN PACK LANKA (PVT) LTD,9-May-17,21-Jul-17,30-Jun-17
SCB,11-May,11-May,15-May,07/3857,957117588461,17DC01USD15326,Nepal,18-May,27-Jun,THINHA,OK,SURYA,OK,,203426,28-Jun,Ganapati Vanaspati Pvt. Ltd.,7-May-17,21-Aug-17,31-Jul-17
SCB,11-May,11-May,12-May,08/10904,957117587337,DPCDAK776956,Bangladesh,15-May,23-May,THINHA,OK,ANURAG,OK,OK,201643,23-May,MONTRIMS LTD.,9-May-17,21-Jul-17,30-Jun-17
HSBC,11-May,11-May,11-May,13/1363,SGHSBC7E11157093,2342FLC015217,India,12-May,23-May,THINHA,OK,NAVDEEP,OK,OK,201962,29-May,PRECISION TAPES AND SEALANTS,9-May-17,20-Jul-17,30-Jun-17
HSBC,11-May,11-May,12-May,08/10917,SGHSBC7E11156306,DPCDAK703558,Bangladesh,12-May,23-May,THINHA,OK,ANURAG,OK,OK,201715,24-May,Allplast Bangladesh Ltd.,8-May-17,21-Jul-17,30-Jun-17
SCB,8-May,12-May,13-May,13/1369,957117590074,17DC01USD15337,Nepal,13-May,23-May,THINHA,OK,NAVDEEP,OK,OK,201638,23-May,Mars Polymer Product PVT LTD,9-May-17,21-Jul-17,30-Jun-17
SCB,12-May,12-May,14-May,07/3851,957117589781,17DC01USD15328,Nepal,14-May,9-Jun,THINHA,OK,SURYA,OK,,202422,9-Jun,Pragati Trading Concern,7-May-17,21-Sep-17,31-Aug-17
SCB,12-May,12-May,13-May,07/3855,957117589380,HBLIFX13731495,Nepal,N.A,15-May,THINHA,OK,SURYA,OK,OK,201343,16-May,Abhisek Commercial,11-May-17,21-Jul-17,30-Jun-17
SCB,12-May,12-May,15-May,08/10916,957117589399,043417020009,Bangladesh,15-May,22-May,THINHA,OK,ANURAG,OK,OK,201644,23-May,NAHID PLASTIC (BD) LTD,11-May-17,21-Jul-17,30-Jun-17
SCB,12-May,12-May,15-May,13/1370,957117590207,019USD170322U,Nepal,15-May,18-May,THINHA,OK,Navdeep,OK,OK,201477,18-May,SHREE BINDWASINI PLASTIC UDYOG,12-May-17,10-Aug-17,20-Jul-17
SCB,12-May,12-May,15-May,08/10918,957117589406,0000181017010133,Nepal,15-May,18-May,THINHA,OK,ANURAG,OK,OK,201476,18-May,Mahmud Enterprise,11-May-17,26-Jul-17,5-Jul-17
HSBC,9-May,15-May,16-May,02/5562,SGHSBC7E09154751,003LM01171290002,India,16-May,17-May,THINHA,OK,SANJEEV,OK,OK,201478,18-May,MAYUR ENTERPRISES,9-May-17,20-Jul-17,30-Jun-17
HSBC,11-May,15-May,17-May,06/248,SGHSBC7E12161580,30930NI00003717,India,18-May,7-Jun,THINHA,OK,VIPIN,OK,,202271,7-Jun,AVON METERS PRIVATE LIMITED,11-May-17,18-Jul-17,27-Jun-17
HSBC,11-May,15-May,16-May,06/247,SGHSBC7E12161052,30930NI00003617,India,18-May,26-May,THINHA,OK,VIPIN,OK,OK,201984,29-May,AVON METERS PRIVATE LIMITED,11-May-17,18-Jul-17,27-Jun-17
HSBC,11-May,15-May,16-May,03/0899,SGHSBC7E12161607,053417IML000020,India,N.A,16-May,THINHA,OK,GAURAV,OK,OK,201492,17-May,VIJAYA POLYMERS INDIA PRIVATE LIMIT,11-May-17,23-Jul-17,2-Jul-17
HSBC,11-May,15-May,16-May,01/8298,SGHSBC7E11158958,1097517IM0000009,India,N.A,17-May,THINHA,OK,SANJEEV,OK,OK,201493,17-May,Shah Laxminarayan Satishchandra Exi,10-May-17,21-Jul-17,30-Jun-17
HSBC,11-May,15-May,16-May,06/233,SGHSBC7E11157835,0174MDC170003979,India,N.A,17-May,THINHA,OK,VIPIN,OK,OK,201494,17-May,MG Polyplast Industries Pvt Ltd,9-May-17,14-Jul-17,23-Jun-17
HSBC,12-May,15-May,16-May,11/0035,SGHSBC7E12161702,0042002170011268,Sri Lanka,16-May,25-May,THINHA,OK,GAURAV,OK,OK,201891,26-May,H.H. Essa and Co.,9-May-17,16-Jul-17,25-Jun-17
HSBC,12-May,15-May,17-May,13/1362,SGHSBC7E12162221,0153FLC170015,India,17-May,23-May,THINHA,OK,NAVDEEP,OK,OK,201710,23-May,DREAM POLYPACK PVT LTD.,12-May-17,21-Jul-17,30-Jun-17
HSBC,12-May,15-May,16-May,02/5568,SGHSBC7E15164386,IMLC/2017/980026,India,16-May,19-May,THINHA,OK,SANJEEV,OK,OK,201612,19-May,AMAN POLY PLAST PVT. LTD.,12-May-17,21-Jul-17,30-Jun-17
HSBC,12-May,15-May,18-May,06/0235,SGHSBC7E15164425,6049FLCDA170015,India,18-May,24-May,THINHA,OK,SANJEEV,OK,OK,201620,24-May,VMI PLASTICS PVT LTD,12-May-17,14-Jul-17,23-Jun-17
HSBC,13-May,15-May,16-May,13/1378,SGHSBC7E15164466,003LC01171320027,India,16-May,24-May,THINHA,OK,NAVDEEP,OK,OK,201770,24-May,LEGEND POLYFOAMS PVT. LTD.,12-May-17,21-Jul-17,30-Jun-17
SCB,15-May,15-May,17-May,07/3858,957117586631,HBLIFX12731485,Nepal,19-May,9-Jun,THINHA,OK,SURYA,OK,,203154,27-Jun,New Milan Impex,9-May-17,21-Nov-17,31-Oct-17
SCB,15-May,15-May,17-May,07/3861,957117591091,18017LU00044,Bangladesh,N.A,17-May,THINHA,OK,SURYA,OK,OK,201490,17-May,KRISHNA NEPAL TRADING PVT. LTD,12-May-17,21-Jul-17,30-Jun-17
SCB,15-May,15-May,17-May,07/3860,957117592161,17DC01USD15327,Nepal,17-May,26-May,THINHA,OK,SURYA,OK,OK,201959,29-May,LUCKY NEPAL CO. PVT. LTD.,31-Dec-99,21-Jul-17,30-Jun-17
SCB,15-May,15-May,16-May,08/10932,957117591607,174117020191,Bangladesh,16-May,23-May,THINHA,OK,ANURAG,OK,OK,201639,23-May,Kuliarchar Packaging Industries Ltd,14-May-17,27-Jul-17,6-Jul-17
HSBC,12-May,16-May,18-May,03/0899,SGHSBC7E15164822,053417IML000021,India,N.A,18-May,THINHA,OK,GAURAV,OK,OK,201565,18-May,VIJAYA POLYMERS INDIA PRIVATE LIMIT,12-May-17,23-Jul-17,2-Jul-17
HSBC,13-May,16-May,18-May,02/5565,SGHSBC7E15165739,0067FLC170004,India,18-May,24-May,THINHA,OK,SANJEEV,OK,OK,201619,24-May,OHRI GLOBPPACK,12-May-17,21-Jul-17,30-Jun-17
SCB,16-May,16-May,18-May,07/3859,957117593311,17DC14USD00109,Nepal,18-May,27-Jun,THINHA,OK,SURYA,OK,,203153,27-Jun,Super Polymer Industries,8-May-17,21-Aug-17,31-Jul-17
SCB,16-May,16-May,18-May,07/3865,957117594285,HBLIFX14731521,Nepal,19-May,7-Jun,THINHA,OK,SURYA,OK,,202328,7-Jun,Yeti Plastic Industries Pvt. Ltd,16-May-17,21-Jul-17,30-Jun-17
SCB,16-May,16-May,18-May,07/3871,957117593197,L608617134,Nepal,18-May,23-May,THINHA,OK,SURYA,OK,OK,201618,23-May,SIDDHI GANESH PLASTIC INDUSTRIES,14-May-17,21-Jul-17,30-Jun-17
SCB,16-May,16-May,18-May,07/3854,957117593446,LC01113873/74,Nepal,18-May,23-May,THINHA,OK,SURYA,OK,OK,201726,24-May,RISING TRADING COMPANY (P) LTD,15-May-17,21-Jul-17,30-Jun-17
HSBC,16-May,16-May,18-May,03/0900,SGHSBC7E16168145,0999817IM0039362,India,N.A,18-May,THINHA,OK,GAURAV,OK,OK,201550,18-May,KKALPANA INDUSTRIES (INDIA) LIMITED,15-May-17,21-Jul-17,30-Jun-17
HSBC,16-May,17-May,19-May,05/2184,SGHSBC7E17170810,2342FLC015717,India,23-May,29-May,THINHA,OK,GAURAV,OK,OK,202015,31-May,Varssha Poly Products,16-May-17,21-Jul-17,30-Jun-17
HSBC,16-May,17-May,19-May,06/233,SGHSBC7E17170576,0174MDC170004190,India,23-May,29-May,THINHA,OK,VIPIN,OK,OK,202011,31-May,MG Polyplast Industries Pvt Ltd,16-May-17,14-Jul-17,23-Jun-17
HSBC,16-May,17-May,19-May,03/0906,SGHSBC7E16169405,7456MDC170004175,India,22-May,25-May,THINHA,OK,GAURAV,OK,OK,202072,6/1/17,SRIJA POLYMERS,15-May-17,21-Jul-17,30-Jun-17
BTMU,16-May,17-May,22-May,08/10921,,0000021617010183,Bangladesh,22-May,25-May,THINHA,OK,ANURAG,OK,OK,201895,26-May,Brac Printing Pack,16-May-17,26-Jul-17,5-Jul-17
BTMU,16-May,17-May,22-May,08/10905,,0000021617010182,Bangladesh,22-May,25-May,THINHA,OK,ANURAG,OK,OK,201892,26-May,Brac Printing Pack,16-May-17,21-Jul-17,30-Jun-17
HSBC,17-May,17-May,22-May,06/245,SGHSBC7E18173671,1165FLC170310,India,23-May,7-Jun,THINHA,OK,VIPIN,OK,,202778,7-Jun,Ramcharan Company Pvt Ltd,17-May-17,18-Jul-17,27-Jul-17
SCB,17-May,17-May,20-May,08/10923,957117595943,1341/17/02/0035,Bangladesh,22-May,29-May,THINHA,OK,ANURAG,OK,OK,202017,31-May,SAM PACK LIMITED,16-May-17,10-Aug-17,20-Jul-17
